child_id,trial_id,scen_id,scen_name,feedback_type,in_sp,in_ex,in_sa,in_ap,in_tp,initial_pq,re_sp,re_ex,re_sa,re_ap,re_tp,revised_pq,perct_moti,perct_help
19,1,1,Programmieren lernen,dialogic,0,0,0,1,0,1,1,1,0,1,1,4,4,4
19,2,3,Bild Zeichnen,instructive,0,0,0,1,0,1,1,1,1,1,0,4,3,3
19,3,6,Pflanzen gießen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,4,3
19,4,4,Hund ausführen,instructive,1,1,1,1,1,5,1,1,0,1,1,4,3,3
19,5,2,Geschichten schreiben,dialogic,1,1,0,1,0,3,1,1,1,1,1,5,4,4
19,6,5,Videos drehen,instructive,0,0,0,0,0,0,1,1,1,1,1,5,3,4
20,1,3,Bild Zeichnen,instructive,0,0,0,0,0,0,1,1,0,1,1,4,2,2
20,2,4,Hund ausführen,instructive,1,1,0,1,1,4,1,1,1,1,1,5,2,2
20,3,5,Videos drehen,dialogic,1,1,0,1,1,4,1,1,1,1,1,5,3,4
20,4,1,Programmieren lernen,dialogic,1,1,0,1,1,4,1,1,1,1,1,5,3,4
20,5,2,Geschichten schreiben,instructive,0,1,0,0,0,1,1,1,1,1,1,5,2,3
20,6,6,Pflanzen gießen,dialogic,0,1,0,1,0,2,1,1,1,1,1,5,4,4
21,1,2,Geschichten schreiben,instructive,0,0,0,0,0,0,1,1,0,1,1,4,2,2
21,2,3,Bild Zeichnen,instructive,0,0,0,0,0,0,1,1,1,1,1,5,2,2
21,3,6,Pflanzen gießen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,3,4
21,4,5,Videos drehen,instructive,0,1,0,0,0,1,1,1,1,1,0,4,3,3
21,5,1,Programmieren lernen,dialogic,1,1,0,1,1,4,1,1,0,1,1,4,3,4
21,6,4,Hund ausführen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,4,4
22,1,6,Pflanzen gießen,instructive,0,0,0,0,0,0,1,1,0,1,1,4,3,3
22,2,5,Videos drehen,dialogic,0,0,0,0,0,0,1,1,0,1,1,4,4,4
22,3,4,Hund ausführen,dialogic,1,1,0,1,1,4,1,1,1,1,1,5,4,4
22,4,1,Programmieren lernen,instructive,0,0,0,0,0,0,0,1,0,1,0,2,2,2
22,5,2,Geschichten schreiben,instructive,0,0,0,0,0,0,1,1,0,1,1,4,2,2
22,6,3,Bild Zeichnen,dialogic,0,1,0,1,0,2,1,1,1,1,0,4,4,4
23,1,1,Programmieren lernen,dialogic,0,0,0,0,0,0,1,1,0,1,1,4,3,2
23,2,3,Bild Zeichnen,dialogic,0,0,0,0,0,0,1,1,0,1,0,3,2,2
23,3,4,Hund ausführen,instructive,1,1,1,1,1,5,1,1,1,1,1,5,4,4
23,4,5,Videos drehen,dialogic,0,0,0,0,0,0,0,1,0,1,1,3,2,2
23,5,2,Geschichten schreiben,instructive,1,1,0,1,1,4,1,1,0,1,1,4,4,3
23,6,6,Pflanzen gießen,instructive,0,1,0,1,1,3,1,1,1,1,1,5,4,3
24,1,5,Videos drehen,instructive,1,1,0,1,1,4,1,1,1,1,1,5,2,3
24,2,4,Hund ausführen,dialogic,1,1,1,0,0,3,1,1,1,0,0,3,3,3
24,3,2,Geschichten schreiben,dialogic,0,1,0,0,0,1,1,1,0,1,1,4,4,3
24,4,1,Programmieren lernen,instructive,1,1,0,1,1,4,1,1,1,1,1,5,3,2
24,5,3,Bild Zeichnen,instructive,0,1,0,1,0,2,0,1,0,1,1,3,2,2
24,6,6,Pflanzen gießen,dialogic,0,1,0,1,0,2,1,1,0,1,0,3,3,3
25,1,1,Programmieren lernen,dialogic,0,1,0,0,0,1,1,1,1,0,1,4,4,3
25,2,2,Geschichten schreiben,instructive,0,0,0,0,0,0,1,1,1,1,1,5,3,2
25,3,4,Hund ausführen,dialogic,0,0,0,1,0,1,1,1,0,1,1,4,4,3
25,4,3,Bild Zeichnen,dialogic,0,0,0,0,0,0,1,1,1,1,1,5,4,4
25,5,5,Videos drehen,instructive,0,0,0,0,0,0,0,0,0,0,0,0,1,2
25,6,6,Pflanzen gießen,instructive,0,1,0,0,0,1,0,1,0,0,0,1,1,1
26,1,4,Hund ausführen,instructive,0,1,0,1,1,3,1,1,1,1,1,5,3,3
26,2,3,Bild Zeichnen,dialogic,1,1,0,1,1,4,1,1,1,1,1,5,4,3
26,3,5,Videos drehen,instructive,1,1,1,1,1,5,1,1,1,1,1,5,3,2
26,4,6,Pflanzen gießen,instructive,0,0,0,0,0,0,1,1,1,1,1,5,3,2
26,5,2,Geschichten schreiben,dialogic,0,0,0,1,0,1,1,1,1,1,1,5,4,3
26,6,1,Programmieren lernen,dialogic,0,1,0,0,0,1,1,1,1,1,1,5,4,4
27,1,4,Hund ausführen,dialogic,0,1,0,0,0,1,1,1,0,1,1,4,2,3
27,2,5,Videos drehen,instructive,1,1,0,1,1,4,1,1,0,1,1,4,4,4
27,3,1,Programmieren lernen,dialogic,1,1,0,1,1,4,1,1,0,1,1,4,3,2
27,4,6,Pflanzen gießen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,3,3
27,5,3,Bild Zeichnen,instructive,0,1,0,1,0,2,1,1,0,1,1,4,4,4
27,6,2,Geschichten schreiben,instructive,0,1,0,0,0,1,1,1,1,1,1,5,4,4
28,1,4,Hund ausführen,dialogic,1,1,1,1,1,5,0,1,0,1,1,3,3,3
28,2,1,Programmieren lernen,instructive,0,1,0,0,0,1,0,1,0,1,0,2,2,2
28,3,3,Bild Zeichnen,dialogic,0,1,0,1,0,2,0,1,0,0,0,1,2,3
28,4,5,Videos drehen,instructive,0,1,0,0,0,1,1,1,0,1,1,4,2,2
28,5,2,Geschichten schreiben,dialogic,0,0,0,0,0,0,0,1,0,1,0,2,3,3
28,6,6,Pflanzen gießen,instructive,0,0,0,1,0,1,1,1,0,1,0,3,2,2
29,1,6,Pflanzen gießen,dialogic,0,0,0,0,0,0,1,1,1,1,1,5,3,3
29,2,3,Bild Zeichnen,instructive,1,1,0,1,1,4,1,1,0,1,1,4,4,4
29,3,4,Hund ausführen,instructive,0,0,0,0,0,0,1,1,0,1,1,4,4,4
29,4,1,Programmieren lernen,dialogic,0,0,0,0,0,0,0,1,0,1,0,2,2,2
29,5,2,Geschichten schreiben,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,3,2
29,6,5,Videos drehen,instructive,0,1,0,1,0,2,1,1,1,1,1,5,4,4
30,1,2,Geschichten schreiben,instructive,0,1,0,0,0,1,1,1,1,1,1,5,4,3
30,2,5,Videos drehen,instructive,0,0,0,0,0,0,1,1,0,1,1,4,3,4
30,3,6,Pflanzen gießen,instructive,1,1,0,1,1,4,1,1,0,1,1,4,4,4
30,4,1,Programmieren lernen,dialogic,0,1,0,0,0,1,1,1,0,1,1,4,3,2
30,5,4,Hund ausführen,dialogic,1,1,0,1,1,4,1,1,1,1,1,5,3,3
30,6,3,Bild Zeichnen,dialogic,0,1,0,0,0,1,1,1,0,0,1,3,2,2
31,1,1,Programmieren lernen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,4,4
31,2,2,Geschichten schreiben,instructive,1,1,0,1,1,4,1,1,0,1,1,4,2,3
31,3,4,Hund ausführen,instructive,0,0,0,0,0,0,1,1,0,1,1,4,2,3
31,4,6,Pflanzen gießen,dialogic,1,1,1,1,1,5,1,1,0,1,1,4,3,4
31,5,3,Bild Zeichnen,instructive,0,1,0,1,0,2,1,1,0,1,1,4,3,2
31,6,5,Videos drehen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,4,4
32,1,3,Bild Zeichnen,instructive,0,0,0,0,0,0,1,1,1,1,1,5,4,3
32,2,1,Programmieren lernen,instructive,0,1,0,1,0,2,1,1,1,1,0,4,4,3
32,3,2,Geschichten schreiben,instructive,1,1,0,1,1,4,1,1,0,1,1,4,3,4
32,4,6,Pflanzen gießen,dialogic,1,1,0,1,1,4,1,1,1,1,1,5,3,3
32,5,5,Videos drehen,dialogic,0,1,0,1,0,2,1,1,0,1,1,4,3,3
32,6,4,Hund ausführen,dialogic,0,0,0,0,0,0,1,1,0,1,1,4,2,2
33,1,6,Pflanzen gießen,dialogic,1,1,0,1,1,4,1,1,0,1,1,4,3,3
33,2,2,Geschichten schreiben,instructive,0,1,0,1,0,2,1,1,1,1,1,5,3,4
33,3,4,Hund ausführen,dialogic,1,1,0,1,1,4,1,1,0,1,1,4,1,2
33,4,5,Videos drehen,dialogic,0,0,0,0,0,0,0,1,0,1,0,2,2,2
33,5,1,Programmieren lernen,instructive,1,1,0,1,0,3,1,1,1,1,1,5,4,4
33,6,3,Bild Zeichnen,instructive,1,1,1,1,1,5,1,1,1,1,0,4,4,4
34,1,5,Videos drehen,dialogic,0,1,0,1,0,2,0,1,0,1,0,2,1,2
34,2,2,Geschichten schreiben,instructive,1,1,0,1,1,4,1,1,0,1,1,4,4,4
34,3,1,Programmieren lernen,instructive,0,1,0,1,0,2,1,1,1,1,1,5,4,4
34,4,3,Bild Zeichnen,dialogic,0,1,0,1,0,2,0,1,0,1,0,2,2,2
34,5,4,Hund ausführen,instructive,1,1,1,1,1,5,1,1,1,1,1,5,4,3
34,6,6,Pflanzen gießen,dialogic,1,1,1,1,1,5,1,1,0,1,1,4,1,1
35,1,3,Bild Zeichnen,dialogic,0,1,0,0,0,1,1,1,0,1,0,3,2,2
35,2,4,Hund ausführen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,2,2
35,3,1,Programmieren lernen,instructive,0,1,0,0,0,1,1,1,0,1,0,3,3,3
35,4,5,Videos drehen,instructive,1,1,0,0,0,2,1,1,0,1,0,3,3,3
35,5,6,Pflanzen gießen,dialogic,0,1,0,0,0,1,1,1,1,0,0,3,1,1
35,6,2,Geschichten schreiben,instructive,0,0,0,0,0,0,1,1,1,1,1,5,4,3
36,1,2,Geschichten schreiben,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,4,4
36,2,4,Hund ausführen,instructive,0,1,0,1,0,2,1,1,1,1,1,5,2,3
36,3,5,Videos drehen,instructive,1,1,1,0,0,3,1,1,1,1,0,4,2,2
36,4,3,Bild Zeichnen,dialogic,1,1,0,1,1,4,1,1,1,1,0,4,4,3
36,5,6,Pflanzen gießen,instructive,1,1,1,1,0,4,1,1,1,1,1,5,2,2
36,6,1,Programmieren lernen,dialogic,1,1,1,1,1,5,1,1,0,1,1,4,3,4
37,1,2,Geschichten schreiben,instructive,0,0,0,0,0,0,1,1,0,1,1,4,4,3
37,2,1,Programmieren lernen,dialogic,0,0,0,0,0,0,0,1,0,1,0,2,2,2
37,3,4,Hund ausführen,dialogic,0,1,0,0,0,1,1,1,0,1,0,3,1,2
37,4,6,Pflanzen gießen,dialogic,0,1,0,0,0,1,1,1,1,1,1,5,3,2
37,5,3,Bild Zeichnen,instructive,0,1,0,0,0,1,1,1,0,1,0,3,3,3
37,6,5,Videos drehen,instructive,0,0,0,0,0,0,1,1,1,1,1,5,4,4
38,1,3,Bild Zeichnen,dialogic,1,1,0,1,0,3,1,1,1,1,1,5,3,4
38,2,2,Geschichten schreiben,instructive,1,0,0,1,0,2,1,1,0,1,1,4,3,2
38,3,5,Videos drehen,dialogic,0,1,0,0,0,1,1,1,1,1,1,5,4,4
38,4,1,Programmieren lernen,instructive,1,1,0,0,0,2,1,1,0,1,1,4,2,3
38,5,4,Hund ausführen,instructive,0,0,0,0,0,0,1,1,1,1,1,5,2,3
38,6,6,Pflanzen gießen,dialogic,1,1,1,1,1,5,1,1,1,0,1,4,4,3
39,1,5,Videos drehen,dialogic,1,1,0,1,0,3,1,1,0,1,1,4,2,1
39,2,2,Geschichten schreiben,instructive,0,0,0,0,0,0,1,1,0,1,1,4,3,3
39,3,3,Bild Zeichnen,dialogic,1,1,0,1,0,3,1,1,0,1,1,4,1,1
39,4,6,Pflanzen gießen,instructive,0,0,0,0,0,0,0,1,0,1,0,2,3,3
39,5,1,Programmieren lernen,instructive,0,1,0,1,0,2,1,1,0,1,0,3,3,3
39,6,4,Hund ausführen,dialogic,1,1,0,1,0,3,1,1,0,1,1,4,2,1
40,1,3,Bild Zeichnen,instructive,0,0,0,0,0,0,1,1,1,1,1,5,3,2
40,2,2,Geschichten schreiben,dialogic,0,0,0,0,0,0,0,1,0,0,0,1,3,3
40,3,5,Videos drehen,instructive,1,1,0,1,1,4,1,1,0,1,1,4,2,3
40,4,1,Programmieren lernen,dialogic,1,1,0,1,1,4,1,1,0,1,1,4,4,3
40,5,4,Hund ausführen,dialogic,0,1,0,1,0,2,0,1,0,1,0,2,3,3
40,6,6,Pflanzen gießen,instructive,1,1,0,1,0,3,1,1,0,1,0,3,2,1
41,1,6,Pflanzen gießen,dialogic,0,1,0,0,0,1,0,1,0,0,0,1,2,2
41,2,3,Bild Zeichnen,instructive,0,0,0,0,0,0,1,0,0,1,0,2,3,4
41,3,4,Hund ausführen,instructive,1,1,1,1,1,5,1,1,1,1,1,5,3,3
41,4,5,Videos drehen,instructive,1,0,0,1,1,3,1,1,1,1,1,5,4,3
41,5,2,Geschichten schreiben,dialogic,0,0,0,0,0,0,0,0,0,0,0,0,2,1
41,6,1,Programmieren lernen,dialogic,0,0,0,0,0,0,1,1,0,1,0,3,3,2
42,1,3,Bild Zeichnen,instructive,0,0,0,0,0,0,0,1,0,1,0,2,2,1
42,2,4,Hund ausführen,instructive,0,0,0,0,0,0,0,1,0,1,1,3,2,3
42,3,1,Programmieren lernen,instructive,0,1,0,0,0,1,1,1,1,1,1,5,3,2
42,4,6,Pflanzen gießen,dialogic,0,0,0,1,0,1,1,1,0,0,1,3,3,4
42,5,2,Geschichten schreiben,dialogic,1,1,0,0,0,2,0,1,0,1,1,3,3,3
42,6,5,Videos drehen,dialogic,1,1,0,1,1,4,1,1,0,1,1,4,4,4
43,1,1,Programmieren lernen,dialogic,0,0,0,0,0,0,0,1,0,1,0,2,2,2
43,2,3,Bild Zeichnen,instructive,0,0,0,0,0,0,0,1,0,1,0,2,3,4
43,3,2,Geschichten schreiben,instructive,1,1,0,1,1,4,1,1,1,1,1,5,4,4
43,4,4,Hund ausführen,instructive,0,1,0,0,0,1,1,1,0,1,1,4,3,4
43,5,6,Pflanzen gießen,dialogic,0,0,0,0,0,0,1,1,0,1,1,4,2,1
43,6,5,Videos drehen,dialogic,0,0,0,0,0,0,1,1,0,1,1,4,2,2
44,1,4,Hund ausführen,instructive,1,0,0,1,0,2,1,1,0,1,1,4,4,3
44,2,6,Pflanzen gießen,instructive,0,0,0,0,0,0,1,1,1,1,1,5,3,3
44,3,3,Bild Zeichnen,dialogic,0,0,0,0,0,0,0,1,0,1,0,2,2,2
44,4,5,Videos drehen,instructive,0,1,0,0,0,1,1,1,1,1,1,5,4,3
44,5,2,Geschichten schreiben,dialogic,0,0,0,0,0,0,0,1,0,1,0,2,2,3
44,6,1,Programmieren lernen,dialogic,0,0,0,0,0,0,1,1,0,1,1,4,3,2
45,1,1,Programmieren lernen,dialogic,0,0,0,0,0,0,1,1,0,0,1,3,4,3
45,2,2,Geschichten schreiben,instructive,0,0,0,0,0,0,1,1,0,1,1,4,2,1
45,3,4,Hund ausführen,dialogic,0,0,0,0,0,0,0,1,0,1,1,3,3,3
45,4,3,Bild Zeichnen,instructive,0,1,0,1,0,2,1,1,0,1,1,4,3,2
45,5,6,Pflanzen gießen,instructive,1,1,0,1,0,3,1,1,0,1,0,3,3,2
45,6,5,Videos drehen,dialogic,1,1,0,1,1,4,1,1,1,1,1,5,4,3
46,1,3,Bild Zeichnen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,4,4
46,2,4,Hund ausführen,dialogic,1,1,0,1,1,4,1,1,1,1,1,5,3,4
46,3,6,Pflanzen gießen,instructive,1,1,0,1,1,4,1,1,1,1,1,5,2,3
46,4,2,Geschichten schreiben,instructive,0,0,0,0,0,0,1,1,0,1,1,4,3,3
46,5,5,Videos drehen,dialogic,0,1,0,0,0,1,0,1,0,1,0,2,3,3
46,6,1,Programmieren lernen,instructive,0,0,0,0,0,0,1,1,1,1,0,4,1,1
47,1,5,Videos drehen,dialogic,1,1,0,1,1,4,1,1,1,1,1,5,3,3
47,2,2,Geschichten schreiben,dialogic,0,1,0,0,0,1,1,1,1,1,1,5,4,3
47,3,1,Programmieren lernen,instructive,0,1,0,1,0,2,0,1,0,1,0,2,1,2
47,4,3,Bild Zeichnen,dialogic,1,1,1,1,0,4,1,1,1,1,1,5,3,4
47,5,6,Pflanzen gießen,instructive,1,1,1,1,1,5,1,1,1,1,1,5,2,2
47,6,4,Hund ausführen,instructive,1,1,0,1,0,3,1,1,0,1,1,4,2,2
48,1,6,Pflanzen gießen,instructive,0,1,0,0,0,1,1,1,0,0,1,3,3,3
48,2,5,Videos drehen,instructive,0,0,0,0,0,0,0,0,0,0,0,0,2,1
48,3,1,Programmieren lernen,instructive,1,1,1,1,1,5,1,1,1,1,1,5,3,3
48,4,2,Geschichten schreiben,dialogic,1,0,0,0,0,1,1,1,1,1,1,5,4,4
48,5,3,Bild Zeichnen,dialogic,1,1,1,1,1,5,1,1,1,1,1,5,4,4
48,6,4,Hund ausführen,dialogic,0,1,0,1,0,2,1,1,1,1,1,5,4,4
49,1,4,Hund ausführen,instructive,0,0,0,0,0,0,1,1,1,1,1,5,3,2
49,2,2,Geschichten schreiben,dialogic,0,0,0,0,0,0,1,1,0,0,1,3,3,3
